question_id,document,question,ground_truth_answer,ground_truth_source,current_rag_answer
CLIP-14,CLIP,"How did CLIP's zero-shot classification performance compare with Visual N-Grams on the Yahoo, ImageNet, and SUN datasets?","CLIP substantially outperformed Visual N-Grams on all three reported datasets. Table 1 reports Visual N-Grams vs CLIP as: Yahoo 72.4% vs 98.4%, ImageNet 11.5% vs 76.2%, and SUN 23.0% vs 58.5%.","CLIP.pdf, p. 7","The document does not provide a direct comparison of CLIP's zero-shot classification performance with Visual N-Grams on the Yahoo, ImageNet, and SUN datasets. However, it does provide CLIP's zero-shot performance scores for each dataset, which can be used for comparison if the scores for Visual N-Grams on these datasets are available.

For Yahoo: Not provided
For ImageNet: CLIP scored 62.0%
For SUN: Not provided

Please refer to the specific research or documentation related to Visual N-Grams for their performance scores on these datasets for a direct comparison."
CLIP-15,CLIP,Why does the paper argue that CLIP represents a significant step toward flexible and practical zero-shot computer vision classifiers?,"CLIP is a significant step toward flexible and practical zero-shot classifiers because natural language lets users directly specify the visual concepts to recognize, removing the need to train a separate classifier with labeled examples for every target dataset. The paper also shows strong zero-shot performance across many tasks.","CLIP.pdf, p. 7","The paper argues that CLIP represents a significant step toward flexible and practical zero-shot computer vision classifiers because it achieves competitive performance in zero-shot settings compared to fully supervised models, as demonstrated on datasets like Kinetics-700 and RareAct. This performance suggests that CLIP can recognize a wide variety of actions and objects without being explicitly trained on them, making it a promising tool for flexible and practical zero-shot classification."
RAG-01,RAG,"What is Retrieval-Augmented Generation (RAG), and what problem is it designed to address?","RAG is a retrieval-augmented generation framework that combines a pre-trained parametric seq2seq generator with a non-parametric external memory accessed by a neural retriever. It is designed for knowledge-intensive language tasks, addressing limitations of purely parametric language models such as difficulty updating/revising knowledge and increased risk of unsupported or hallucinated information.","RAG.pdf, pp. 1–2","Retrieval-Augmented Generation (RAG) is a model designed to address the problem of knowledge-intensive NLP tasks. It is a unified architecture that incorporates retrieval to improve performance across several tasks such as open-domain question answering, fact checking, fact completion, long-form question answering, Wikipedia article generation, dialogue, translation, and language modeling. The model uses retrieved documents to enhance its understanding and generate more accurate responses."
RAG-02,RAG,"What are the two types of memory used in the RAG architecture, and what role does each one play?","RAG uses two forms of memory: parametric memory, stored in the parameters of the pre-trained seq2seq generator (BART), and non-parametric memory, stored in an external dense vector index of Wikipedia. The retriever accesses the external memory and supplies relevant documents to the generator.","RAG.pdf, pp. 1–3","The RAG architecture uses two types of memory: non-parametric memory and latent documents.

1. Non-parametric memory: This is the main memory of the RAG model, which stores the retrieved documents. It plays a crucial role in providing context and facts for the model to generate answers.

2. Latent documents: These are additional documents retrieved during the inference phase to help the model generate more accurate answers. The number of latent documents can be adjusted at test time, affecting performance and runtime.

Reference(s):
[The text provided in the image description]"
RAG-03,RAG,What type of index is used as the non-parametric memory in the RAG model?,"The non-parametric memory is a dense vector index of Wikipedia. The paper uses a December 2018 Wikipedia dump, split into 100-word chunks, producing about 21 million documents whose embeddings are stored in a MIPS/FAISS index.","RAG.pdf, pp. 1, 4, 19","The non-parametric memory in the RAG model uses a vector index. Specifically, it consists of 21M 728-dimensional vectors, totaling approximately 15.3 billion values."
RAG-04,RAG,"What model is used as the parametric memory in the RAG architecture, and what component retrieves documents from the external memory?","The parametric memory is the BART-large pre-trained seq2seq transformer. Documents are retrieved from the external Wikipedia index by a Dense Passage Retriever (DPR), using a BERT-based query encoder and document encoder with Maximum Inner Product Search (MIPS).","RAG.pdf, pp. 1–3","The parametric memory in the RAG architecture is BART, and the component that retrieves documents from the external memory is a learned retrieval mechanism."
RAG-05,RAG,What is the main difference between RAG-Sequence and RAG-Token?,"RAG-Sequence uses the same retrieved document to generate the complete output sequence, whereas RAG-Token can use a different retrieved document for each target token. RAG-Token can therefore combine information from multiple retrieved documents within one generated answer.","RAG.pdf, p. 3","The main difference between RAG-Sequence and RAG-Token is the way they represent reflection tokens. RAG-Sequence uses a sequence of tokens to represent its output values, while RAG-Token uses a single token. The sequence of tokens in RAG-Sequence provides more detailed information about the output values, while RAG-Token uses a more compact representation. The bottom three rows in Table 1 refer to the Critique tokens used in RAG-Sequence, and the bold text indicates the most desirable critique tokens."
RAG-06,RAG,Why does using an external non-parametric memory make RAG easier to update with new knowledge than a purely parametric language model?,"Because knowledge is stored in an external non-parametric index rather than only in model parameters, the index can be updated or replaced at test time without retraining the generator. A purely parametric model such as BART or T5 would require further training to change its stored knowledge or behavior.","RAG.pdf, p. 7","Using an external non-parametric memory makes RAG easier to update with new knowledge than a purely parametric language model because non-parametric models like RAG can easily update their knowledge at test time, while parametric-only models like T5 or BART require further training to update their behavior as the world changes. This is because non-parametric models store specific knowledge in their memory, and this knowledge can be easily updated or replaced, whereas parametric models learn to generate responses based on the parameters learned during training, and updating these parameters requires additional training data and computational resources."
RAG-07,RAG,What advantages does the RAG paper claim for storing raw text in its external memory instead of storing only distributed representations?,"Storing raw text in the external memory makes the memory human-readable and human-writable. This provides interpretability because retrieved knowledge can be inspected, and it allows the document index to be edited or updated without retraining the model.","RAG.pdf, pp. 2, 7","The RAG paper claims that storing raw text in its external memory instead of storing only distributed representations has two advantages:

1. Human-readability: The memory becomes interpretable, making it easier for humans to understand the model's reasoning.
2. Human-writability: The model's memory can be dynamically updated by editing the document index, allowing for the model to learn from new information.

This approach has also been used in knowledge-intensive dialog, where generators have been conditioned on retrieved text directly."
RAG-08,RAG,How does the neural retriever interact with the Wikipedia document index in the RAG architecture?,The neural retriever is based on DPR. A BERT-based query encoder produces a query representation and a BERT-based document encoder produces dense document representations. The retriever uses Maximum Inner Product Search (MIPS) to retrieve the top-k Wikipedia documents from the pre-built dense vector index. The retrieved documents are then supplied to BART.,"RAG.pdf, pp. 3–4","The neural retriever in the RAG (Retrieval-Augmented Generation) architecture interacts with the Wikipedia document index by retrieving relevant documents for a given input. During the training process, RAG learns to retrieve the most useful documents for a specific task, such as answering questions or generating text.

The document index is built using a large corpus of text, such as the Wikipedia dump from a specific date. RAG can use this index to retrieve documents at test time, allowing it to answer questions or generate text based on the information contained in the retrieved documents.

One advantage of the RAG architecture is that it can easily update its world knowledge by simply replacing its non-parametric memory (the document index) with a newer version. This allows RAG to adapt to changes in the world, such as changes in the identities of world leaders.

In the example provided, the authors demonstrate this by building an index using the Wikipedia dump from December 2016 and comparing the outputs of RAG using this index to the outputs of RAG using a newer index from December 2018. They find that RAG's accuracy in answering questions about world leaders is higher when using the newer index, showing that the model can adapt to changes in the world.

Overall, the neural retriever in the RAG architecture plays a crucial role in allowing the model to access and utilize relevant information from a large corpus of text, and the ability to easily update the document index allows RAG to adapt to changes in the world."
RAG-09,RAG,On what types of knowledge-intensive NLP tasks was RAG evaluated?,"RAG was evaluated on several knowledge-intensive NLP task types: open-domain question answering (Natural Questions, TriviaQA, WebQuestions and CuratedTrec), knowledge-intensive generation (MS-MARCO NLG and Jeopardy question generation), and fact verification (FEVER).","RAG.pdf, pp. 1, 4–6","RAG was evaluated on the following knowledge-intensive NLP tasks:

1. Open-domain Question Answering (QA)
2. TriviaQA (TQA)
3. Web Question (WQ)
4. Commonsense Reasoning (CT)
5. Jeopardy Question Generation
6. MS-MARCO
7. Fact Verification and Retrieval (FVR)

These tasks include question answering, fact checking, fact completion, long-form question answering, Wikipedia article generation, dialogue, translation, and language modeling."
RAG-10,RAG,What advantages did the authors report for RAG-generated text compared with purely parametric BART generation?,"Compared with parametric-only BART, RAG generations were reported to be more factual, specific and diverse. On MS-MARCO NLG, RAG-Sequence improved over BART by 2.6 BLEU and 2.6 ROUGE-L points. Human evaluation on Jeopardy question generation also favored RAG for factuality and specificity.","RAG.pdf, pp. 6–8",The authors reported that RAG-generated text is more factual and specific compared to purely parametric BART generation.
RAG-11,RAG,Why can RAG be considered a combination of parametric and non-parametric memory?,"RAG combines parametric and non-parametric memory because the generator is a pre-trained seq2seq model whose parameters store parametric knowledge, while the external Wikipedia dense-vector index stores non-parametric knowledge and is accessed through the neural retriever.","RAG.pdf, pp. 1–3",RAG can be considered a combination of parametric and non-parametric memory because it utilizes both learned parameters (parametric) from a pre-trained language model and external knowledge (non-parametric) retrieved from a large corpus of documents. This combination allows RAG to generate more factual and specific responses compared to purely parametric models like BART.
RAG-12,RAG,How does the ability to hot-swap the retrieval index affect the maintainability of a RAG system?,"Hot-swapping the retrieval index makes a RAG system easier to maintain because its external knowledge can be updated at test time simply by replacing the index, without retraining the generator. The paper demonstrates this by replacing a December 2016 Wikipedia index with a December 2018 index and showing that RAG's world knowledge changes accordingly.","RAG.pdf, p. 7","The ability to hot-swap the retrieval index in a RAG system allows for easy updating of the model's world knowledge. This maintainability aspect is crucial as it enables the system to adapt to changes in the world, such as updates in leadership positions or other facts. This is demonstrated in the text where RAG's world knowledge is updated by simply replacing its non-parametric memory. This feature makes the system more flexible and easier to maintain over time."
BERT-01,BERT,"What does BERT stand for, and what is the main idea behind the model?","BERT stands for Bidirectional Encoder Representations from Transformers. It is a deep bidirectional Transformer representation model pre-trained on unlabeled text by jointly conditioning on left and right context in all layers, then fine-tuned with minimal task-specific architecture for downstream NLP tasks.","BERT.pdf, pp. 1–8, 13–16","BERT stands for Bidirectional Encoder Representations from Transformers. The main idea behind the model is to pre-train deep bidirectional representations from unlabeled text by jointly conditioning on both left and right context in all layers. This allows the model to better understand the context and semantics of the text, leading to improved performance on a wide range of natural language processing tasks."
BERT-02,BERT,How does BERT differ from OpenAI GPT in terms of the direction of context used by the Transformer?,"BERT uses bidirectional self-attention, so each token can attend to both left and right context. OpenAI GPT uses a left-to-right Transformer with constrained self-attention, so each token can attend only to context on its left.","BERT.pdf, pp. 1–8, 13–16","BERT uses a bidirectional Transformer, which means it considers both the left and right context when processing a sentence, while OpenAI GPT uses a left-to-right Transformer, which only considers the left context. This bidirectionality in BERT allows it to capture more contextual information and improve its performance."
BERT-03,BERT,What is the masked language model (MLM) objective used during BERT pre-training?,The masked language model (MLM) randomly masks some input tokens and trains BERT to predict the original vocabulary identity of the masked tokens from their surrounding context.,"BERT.pdf, pp. 1–8, 13–16","The masked language model (MLM) objective used during BERT pre-training is a procedure where a random subset of words in a sentence are masked, and the model is trained to predict the masked words based on the context provided by the surrounding words. This is done to improve the model's language understanding capability."
BERT-04,BERT,Why does the masked language model allow BERT to learn bidirectional representations while a traditional left-to-right language model cannot?,MLM enables bidirectional pre-training because the model predicts selected masked tokens while conditioning on both left and right context. A conventional left-to-right language model cannot use both directions simultaneously because bidirectional conditioning would allow the target word to see itself and make prediction trivial.,"BERT.pdf, pp. 1–8, 13–16","The masked language model (MLM) allows BERT to learn bidirectional representations while a traditional left-to-right language model cannot because the MLM randomly masks some words in a sentence and requires the model to predict the masked words based on the context, encouraging the model to understand the sentence as a whole and learn bidirectional relationships between words. In contrast, a traditional left-to-right language model only considers the words in the order they appear in the sentence, limiting its ability to understand the context and learn bidirectional relationships."
BERT-05,BERT,What is the purpose of the Next Sentence Prediction (NSP) task in BERT?,"NSP trains BERT to predict whether two sampled text spans are consecutive in the original corpus. It is a binary IsNext/NotNext pre-training task intended to help the model learn relationships between sentence pairs, useful for tasks such as question answering and natural language inference.","BERT.pdf, pp. 1–8, 13–16","The purpose of the Next Sentence Prediction (NSP) task in BERT is to predict whether a given sentence is the next sentence in a text, or a random sentence. This task is used during the pre-training phase of BERT to help the model understand the order and coherence of sentences in a text."
BERT-06,BERT,"During BERT pre-training, what percentage of the time is the second sampled text span the actual next sentence, and what percentage of the time is it a randomly selected sentence?","50% of the time the second sampled span is the actual next sentence following the first span, and 50% of the time it is a randomly selected sentence.","BERT.pdf, pp. 1–8, 13–16","During BERT pre-training, 50% of the time the second sampled text span is the actual next sentence, and 50% of the time it is a randomly selected sentence."
BERT-07,BERT,"How do BERT, OpenAI GPT, and ELMo differ in their approaches to obtaining contextual representations?","BERT uses a bidirectional Transformer jointly conditioned on left and right context in all layers; GPT uses a left-to-right Transformer; ELMo concatenates independently trained left-to-right and right-to-left LSTM representations. BERT and GPT are fine-tuning approaches, while ELMo is feature-based.","BERT.pdf, pp. 1–8, 13–16","BERT, OpenAI GPT, and ELMo differ in their approaches to obtaining contextual representations as follows:

1. BERT and OpenAI GPT are fine-tuning approaches, while ELMo is a feature-based approach. This means that BERT and OpenAI GPT start with pre-trained models and further adapt them to specific tasks, while ELMo generates representations directly from the input text without pre-training.

2. BERT and OpenAI GPT are both pre-trained on large text corpora using transformer-based models. However, BERT is trained on both left and right context in all layers, while OpenAI GPT is a left-to-right Transformer LM.

3. BERT learns special symbols like [SEP], [CLS] and sentence A/B embeddings during pre-training, while OpenAI GPT only introduces these symbols at fine-tuning time.

4. BERT was trained on a larger corpus (BooksCorpus and Wikipedia) compared to OpenAI GPT (BooksCorpus only).

5. BERT uses a task-specific fine-tuning learning rate which performs the best on the development set, while OpenAI GPT uses the same learning rate for all fine-tuning experiments.

6. BERT was trained for more steps (1M steps) and with a larger batch size (128,000 words) compared to OpenAI GPT (1M steps with a batch size of 32,000 words).

These differences contribute to the empirical improvements observed in BERT compared to OpenAI GPT, but the core argument of the work is that the bi-directionality and the two pre-training tasks presented in Section 3.1 account for the majority of the improvements."
BERT-08,BERT,What masking rate is used for the language-model masking during BERT pre-training?,The LM masking rate is 15% after WordPiece tokenization.,"BERT.pdf, pp. 1–8, 13–16",The masking rate used for the language-model masking during BERT pre-training is 80%. The other strategies used are 10% SAME (keeping the target token as is) and 10% RND (replacing the target token with another random token).
BERT-09,BERT,What optimizer and learning rate are used for BERT pre-training?,"BERT pre-training uses the Adam optimizer with a learning rate of 1e-4 (with beta1=0.9, beta2=0.999, weight decay 0.01, warmup, and linear decay).","BERT.pdf, pp. 1–8, 13–16","The optimizer used for BERT pre-training is Adam, and the learning rate is 5e-5. However, during fine-tuning, BERT chooses a task-specific learning rate that performs best on the development set."
BERT-10,BERT,What are the main differences between BERTBASE and BERTLARGE in terms of their architecture and training resources?,"BERTBASE has 12 Transformer layers, hidden size 768, 12 attention heads, and about 110M parameters. BERTLARGE has 24 layers, hidden size 1024, 16 attention heads, and about 340M parameters. BERTBASE was pre-trained on 4 Cloud TPU pods (16 TPU chips total), while BERTLARGE used 16 Cloud TPUs (64 TPU chips total); each pre-training run took about 4 days.","BERT.pdf, pp. 1–8, 13–16","BERTBASE and BERTLARGE are two variants of the BERT (Bidirectional Encoder Representations from Transformers) model, which differ in terms of their architecture and the amount of training data they were pre-trained on.

1. Architecture:
   - BERTBASE is the smaller version of the model, with 12 layers and 110 million parameters. It was pre-trained on a single GPU for about a week.
   - BERTLARGE is the larger version, with 24 layers and 340 million parameters. It was pre-trained on 16 TPU cores for about a week.

2. Training Resources:
   - BERTBASE was pre-trained on a single GPU, while BERTLARGE was pre-trained on 16 TPU cores. TPUs (Tensor Processing Units) are custom-built hardware developed by Google for machine learning tasks, which offer higher computational efficiency compared to GPUs.

In summary, BERTLARGE is a larger and more resource-intensive version of BERTBASE, designed to handle larger amounts of data and potentially achieve better performance on certain tasks."
BERT-11,BERT,Why does BERT's bidirectional pre-training reduce the need for heavily engineered task-specific architectures?,"Because BERT pre-training produces strong bidirectional contextual representations, downstream tasks can usually be solved by adding only a small task-specific output layer and fine-tuning the pre-trained model, rather than designing heavily engineered task-specific architectures. The paper explicitly notes that pre-trained representations reduce the need for such architectures.","BERT.pdf, pp. 1–8, 13–16","BERT's bidirectional pre-training reduces the need for heavily engineered task-specific architectures because it learns contextual representations of words in both directions (left-to-right and right-to-left) during pre-training. This allows BERT to capture more nuanced and complex relationships between words, making it more effective for various downstream tasks without the need for extensive fine-tuning or task-specific architectures. Additionally, BERT's pre-training tasks, such as masked language modeling and next sentence prediction, enable the model to learn useful features that are beneficial for a wide range of tasks."
BERT-12,BERT,"What improvements did BERT achieve on GLUE, MultiNLI, SQuAD v1.1, and SQuAD v2.0 according to the paper's abstract?","The abstract reports GLUE 80.5%, MultiNLI 86.7%, SQuAD v1.1 Test F1 93.2, and SQuAD v2.0 Test F1 83.1. These results represented substantial improvements over previous state of the art, including a 7.7% absolute improvement on SQuAD v1.1 over the previous best system and a 5.1 F1 improvement on SQuAD v2.0.","BERT.pdf, pp. 1–8, 13–16","BERT achieved the following improvements according to the paper's abstract:

1. On the GLUE benchmark, BERT obtained an average score of 82.1, which is a significant improvement compared to other systems.

2. On the MultiNLI task, BERT obtained a 4.6% absolute accuracy improvement.

3. On SQuAD v1.1, BERT outperformed other systems, but the paper does not specify the exact improvement.

4. On SQuAD v2.0, BERT was extended with a simple approach that treats questions without an answer as having an answer span with start and end at the [CLS] token. The paper does not specify the exact improvement on SQuAD v2.0."
NLP-Q1,NLP,"What are the six sequential stages of the NLP pipeline described in Figure 1, from raw news text to the final classification output?",Raw Text → Tokenize & Clean → Word Embeddings → BiLSTM Encoder → Attention Layer → Output Classes. The figure shows these six stages in sequence.,"NLP Paper(2).pdf, p. 1 (Figure 1)","The six sequential stages of the NLP pipeline described in Figure 1, from raw news text to the final classification output, are as follows:

1. Raw text input
2. Tokenization and cleaning (removing stop words, punctuation, and applying lowercasing)
3. Word embeddings generation (using GloVe for BiLSTM and WordPiece tokenization for BERT/RoBERTa)
4. BiLSTM encoding (processing sequences bidirectionally to capture context from both directions)
5. Attention layer (weights the most relevant tokens)
6. Final classification head (produces probabilities over six categories)"
NLP-Q2,NLP,"According to Figure 1, how does the BiLSTM branch process the tokenized news text before the final classification head?","The tokenized and cleaned news text is converted to word embeddings (GloVe, 300-dimensional), passed through the bidirectional LSTM encoder to capture context from both directions, then through an attention layer that weights the most relevant tokens before the final classification head.","NLP Paper(2).pdf, p. 1 (Figure 1)","The BiLSTM branch processes the tokenized news text bidirectionally to capture context from both directions. After tokenization, the text is cleaned by removing stop words, punctuation, and applying lowercasing. Word embeddings are generated using GloVe (300-dimensional) for BiLSTM. An attention layer then weights the most relevant tokens before the final classification head produces probabilities over six categories."
NLP-Q3,NLP,"What embedding or tokenization method is used for BiLSTM, and what method is used for BERT and RoBERTa?",BiLSTM uses 300-dimensional GloVe word embeddings. BERT and RoBERTa use WordPiece tokenization.,"NLP Paper(2).pdf, p. 1","For the BiLSTM, the text is tokenized using WordPiece, and the embeddings are not specified in the provided text. For BERT and RoBERTa, the text is also tokenized using WordPiece, but they use a bidirectional Transformer model for representation learning, unlike BiLSTM."
NLP-Q4,NLP,"How many total news articles are contained in the dataset, and into how many categories are they classified?","The dataset contains 18,600 news articles classified into six categories: Politics, Sports, Technology, Entertainment, Health, and Finance.","NLP Paper(2).pdf, pp. 1–2","The dataset contains 18,600 news articles and they are classified into six categories: Politics, Sports, Technology, Entertainment, Health, and Finance."
NLP-Q5,NLP,"Which news category contains the largest number of articles in the dataset, and how many articles does it contain?","Politics, with 4,200 articles.","NLP Paper(2).pdf, p. 2 (Figure 4/Table 1)","The news category containing the largest number of articles in the dataset is Politics, and it contains 4,200 articles."
NLP-Q6,NLP,What is the ratio of the number of Politics articles to Finance articles in the dataset?,"Politics has 4,200 articles and Finance has 1,800, giving a ratio of 4,200:1,800 = 2.33:1.","NLP Paper(2).pdf, p. 2 (Figure 4/Table 1)","The ratio of the number of Politics articles to Finance articles in the dataset is 4200:1800, which is approximately 2.33:1."
NLP-Q7,NLP,"Which model achieves the highest overall accuracy among Naive Bayes, SVM, BiLSTM, BERT fine-tuned, and RoBERTa, and what is its accuracy?","RoBERTa, with the highest overall accuracy of 94.1%.","NLP Paper(2).pdf, p. 3 (Figure 2)","The model that achieves the highest overall accuracy among Naive Bayes, SVM, BiLSTM, BERT fine-tuned, and RoBERTa is not explicitly stated in the provided text. However, it is mentioned that BERT and RoBERTa are fine-tuned models, and they are compared to other models including Naive Bayes, SVM, and BiLSTM. The text does not provide the accuracy of each model, so it is not possible to determine which model has the highest accuracy based on the provided information."
NLP-Q8,NLP,"What are the accuracy and F1 score of BERT fine-tuned and RoBERTa, and how much higher is RoBERTa's accuracy than BERT fine-tuned?",BERT fine-tuned: 92.6% accuracy and 91.3% F1. RoBERTa: 94.1% accuracy and 93.4% F1. RoBERTa's accuracy is 1.5 percentage points higher than BERT fine-tuned.,"NLP Paper(2).pdf, pp. 3, 5 (Figure 2/Table 3)","The document does not provide the accuracy and F1 score of BERT fine-tuned and RoBERTa. However, it is mentioned that BERT was pre-trained on a larger dataset (BooksCorpus and Wikipedia) compared to OpenAI GPT (BooksCorpus only). RoBERTa is a variant of BERT with some modifications, but the document does not specify if these modifications affect the performance significantly. To get the specific accuracy and F1 score, you may need to refer to a separate source or the original research paper."
NLP-Q9,NLP,"Which news category has the highest F1 score for RoBERTa, and what is that F1 score?","Sports, with the highest RoBERTa F1 score of 0.960.","NLP Paper(2).pdf, p. 3 (Table 2)","The news category with the highest F1 score for RoBERTa is Sports, and the F1 score is 0.960. (Reference: DOCUMENT : NLP-Paper.pdf, PAGE : 4)"
NLP-Q10,NLP,"According to the BERT self-attention heatmap for the Health category article in Figure 5, which medically significant word receives the highest attention weights?","The word “cancer” receives the highest attention weights, approximately 0.40–0.45.","NLP Paper(2).pdf, p. 4 (Figure 5)","According to the information provided, the document does not contain Figure 5. However, it does mention that BERT learns sentence A/B embeddings during pre-training, which suggests that BERT pays attention to the entire sentence or context during its processing. To find the medically significant word with the highest attention weights, you would need to analyze the self-attention heatmap of a specific BERT model trained on a Health category article. Unfortunately, without the figure, I cannot provide the specific word."
NLP-Q11,NLP,"Which model converges fastest during training according to Figure 3, and what does the paper identify as a major reason for the computational advantage or disadvantage of the compared models?","RoBERTa converges fastest, reaching a loss below 0.10 by epoch 8. The paper attributes BiLSTM's slower convergence/higher final loss partly to its lack of large-corpus pre-training; RoBERTa benefits from pre-training but has substantially higher computational/training cost.","NLP Paper(2).pdf, p. 4 (Figure 3)","The model that converges fastest during training, according to Figure 3, is not explicitly mentioned in the provided text. However, the paper does not discuss computational advantages or disadvantages of the compared models in the context of Figure 3. The paper focuses on the performance of an image classification system for seven animal categories, discussing the dataset, system architecture, and limitations. The major reason for underperformance on certain classes (Turtle and Hamster) is identified as lower training data availability."
NLP-Q12,NLP,"RoBERTa achieves the highest accuracy but requires substantially more training time than BiLSTM and SVM. Based on Table 3 and the discussion, which model provides the best accuracy-speed trade-off for real-time deployment, and why?","BERT fine-tuned provides the best accuracy-speed trade-off for real-time deployment: 92.6% accuracy with 95 minutes of training, compared with RoBERTa's 94.1% accuracy but 134 minutes. The paper explicitly identifies BERT fine-tuned as the best accuracy-speed trade-off.","NLP Paper(2).pdf, p. 5 (Table 3/Conclusion)","Based on the provided documents, BERT fine-tuned offers the best accuracy-speed trade-off for real-time deployment. Although RoBERTa achieves the highest accuracy (94.1%), it requires significantly more training time (134 minutes) compared to BERT fine-tuned (95 minutes). On the other hand, BERT fine-tuned provides a good balance between accuracy (92.6%) and training time. For real-time deployment, a shorter training time is preferable to ensure quicker model deployment and response times."
CNN-Q1,CNN,"What are the major components of the CNN architecture, and how many convolutional layers does the model contain?","The architecture has six major components: input image, convolutional layer 1, pooling layer 1, convolutional layer 2, fully connected layer, and output classes (softmax). It contains two convolutional layers.","CNN Paper.pdf, p. 1 (Figure 1)","The major components of the CNN architecture, as illustrated in Figure 1, are as follows:

1. Input Layer: Accepts RGB images resized to 224x224 pixels.
2. Convolutional Layer 1: Extracts spatial features using 32 filters of size 3x3.
3. Max-Pooling Layer 1: Reduces spatial dimensions after the first convolution.
4. Convolutional Layer 2: Extracts spatial features using 64 filters of size 3x3.
5. Max-Pooling Layer 2: Reduces spatial dimensions after the second convolution.
6. Fully-Connected Layer: With 512 neurons precedes the final softmax output layer.

The model contains two convolutional layers."
CNN-Q2,CNN,"According to Figure 1, what is the sequence of processing stages an input image passes through before producing the final animal-class prediction?",Input Image → Conv Layer 1 → Pooling Layer 1 → Conv Layer 2 → Fully Connected → Output Classes.,"CNN Paper.pdf, p. 1 (Figure 1)","The input image passes through the following processing stages according to Figure 1:

1. Resizing to 224x224 pixels.
2. Pixel normalization to the range [0, 1].
3. Passing through the first convolutional layer with 32 filters of size 3x3.
4. Max-pooling.
5. Passing through the second convolutional layer with 64 filters of size 3x3.
6. Another max-pooling.
7. Passing through a fully-connected layer with 512 neurons.
8. The final softmax output layer which produces class probability distributions over the seven animal categories."
CNN-Q3,CNN,"What input image resolution is used by the CNN, and how many filters are used in the first and second convolutional layers?","The input image resolution is 224×224 pixels. The first convolutional layer uses 32 filters and the second uses 64 filters, both with 3×3 kernels.","CNN Paper.pdf, p. 1","The input image resolution used by the CNN is 224x224 pixels. The first convolutional layer uses 32 filters of size 3x3, and the second convolutional layer uses 64 filters of the same size."
CNN-Q4,CNN,"How many labeled images are contained in the complete animal-image dataset, and what are the seven animal categories?","The dataset contains 11,600 labeled images across seven categories: Cat, Dog, Bird, Fish, Rabbit, Hamster, and Turtle.","CNN Paper.pdf, p. 1 and p. 2","The complete animal-image dataset contains 11,600 labeled images, and the seven animal categories are Dog, Bird, Fish, Rabbit, Hamster, Turtle, and Cat."
CNN-Q5,CNN,"Which animal category has the largest number of images, and which category has the smallest number of images?","Dog has the largest number with 3,100 images, while Turtle has the smallest with 650 images.","CNN Paper.pdf, p. 2–3 (Table 1 and Figure 3)","From the provided context, the animal category with the largest number of images is Dog, with 3,100 images. The category with the smallest number of images is Turtle, with 650 images. This information is obtained from Figure 3: Dataset Class Distribution — Total 11,600 Images, which is a bar chart showing the number of images per animal class in the full dataset."
CNN-Q6,CNN,What is the ratio between the number of Dog images and Turtle images in the complete dataset?,"Dog:Turtle = 3,100:650 = approximately 4.77:1.","CNN Paper.pdf, p. 3 (Figure 3 and accompanying text)","The ratio between the number of Dog images and Turtle images in the complete dataset is approximately 4.77:1. This is based on the information provided in the bar chart (Figure 3) in the document, where there are 3,100 Dog images and 650 Turtle images."
CNN-Q7,CNN,"After how many epochs does the validation accuracy plateau at approximately 94.2%, and what is the final training accuracy reported?","The paper's body text says validation accuracy plateaued at 94.2% by epoch 18, while the Figure 2 caption says it stabilizes around epoch 16. The final training accuracy is 97.3%.","CNN Paper.pdf, p. 2 (Figure 2 and accompanying text)","The validation accuracy plateaus at approximately 94.2% around epoch 16, and the final training accuracy reported is not specified in the provided documents."
CNN-Q8,CNN,What does Figure 2 show about the relationship between training and validation accuracy during the 20 training epochs?,"Training accuracy rises to 97.3%, while validation accuracy rises and then stabilizes around 94.2%. The persistent gap indicates slight overfitting, although the curves show smooth convergence without severe overfitting.","CNN Paper.pdf, p. 2 (Figure 2)","Figure 2 shows the relationship between training and validation accuracy during the 20 training epochs. The training accuracy reaches 97.3% while validation accuracy plateaus at 94.2% by epoch 18, indicating slight overfitting. Early stopping with a patience of 5 epochs was applied. The validation accuracy stabilizes around epoch 16."
CNN-Q9,CNN,"Which animal category achieves the highest F1 score in the test-set evaluation, and what are its precision, recall, and F1 score?","Dog has the highest F1 score: precision 0.951, recall 0.934, and F1 score 0.942.","CNN Paper.pdf, p. 4 (Table 2)","The animal category that achieves the highest F1 score in the test-set evaluation is the Dog class. Its precision, recall, and F1 score are 0.951, 0.934, and 0.942 respectively.

Reference: DOCUMENT : CNN Paper.pdf, PAGE : 4"
CNN-Q10,CNN,"According to the confusion matrix in Figure 5, which pair of animal classes has the most prominent confusion, and how many Dogs are classified as Cats?","The prominent confusion pair is Dog–Cat. Reading the displayed confusion matrix itself, 8 Dogs are classified as Cats (Dog row, Cat column). The largest off-diagonal cell is actually 12 Cats classified as Dogs; the paper's surrounding prose instead says 12 Dogs were misclassified as Cats, which conflicts with the plotted matrix.","CNN Paper.pdf, p. 4 (Figure 5)","According to the confusion matrix in Figure 5, the pair of animal classes with the most prominent confusion is Dog and Cat. The number of Dogs classified as Cats is 12."
